"Continent ID","Continent","Country ID","Country","Year","Quarter ID","Quarter","Month ID","Month","Trade Value","Growth Value","Growth Percentage","Share"
"na","América del Norte","hnd","Honduras",2023,20231,"2023-Q1",202301,"2023-01",103289000,13940000,0.15601741485634982,0.24270258583792614
"na","América del Norte","hti","Haití",2023,20231,"2023-Q1",202301,"2023-01",2657000,-256000,-0.08788190868520426,0.006243266665098605
"na","América del Norte","jam","Jamaica",2023,20231,"2023-Q1",202301,"2023-01",7545000,99000,0.01329572925060435,0.01772880955520097
"na","América del Norte","kna","Saint Kitts y Nevis",2023,20231,"2023-Q1",202301,"2023-01",76000,25000,0.49019607843137253,0.00017858045410142792
"na","América del Norte","lca","Santa Lucía",2023,20231,"2023-Q1",202301,"2023-01",218000,-2000,-0.00909090909090909,0.0005122439341330433
"na","América del Norte","nic","Nicaragua",2023,20231,"2023-Q1",202301,"2023-01",81062000,-3578000,-0.04227315689981096,0.19047485224170987
"na","América del Norte","pan","Panamá",2023,20231,"2023-Q1",202301,"2023-01",63004000,-33587000,-0.34772390802455716,0.14804319645008374
"na","América del Norte","pri","Puerto Rico",2023,20231,"2023-Q1",202301,"2023-01",81065000,5406000,0.071452173568247,0.19048190147016125
"na","América del Norte","slv","El Salvador",2023,20231,"2023-Q1",202301,"2023-01",89632000,-45713000,-0.33775167165392145,0.210612148184463
"na","América del Norte","tca","Turcas y Caicos",2023,20231,"2023-Q1",202301,"2023-01",78000,42000,1.1666666666666667,0.00018327993973567603
"na","América del Norte","tto","Trinidad y Tobago",2023,20231,"2023-Q1",202301,"2023-01",6665000,-3700000,-0.3569705740472745,0.015661035876131803
"na","América del Norte","usa","Estados Unidos",2023,20231,"2023-Q1",202301,"2023-01",34927016000,-4328577000,-0.11026650393486605,82.06950496957683
"na","América del Norte","vct","San Vicente y las Granadinas",2023,20231,"2023-Q1",202301,"2023-01",44000,-109000,-0.7124183006535948,0.00010338868395345826
"na","América del Norte","vgb","Islas Vírgenes Británicas",2023,20231,"2023-Q1",202301,"2023-01",247000,-1583000,-0.8650273224043716,0.0005803864758296407
"na","América del Norte","vir","Islas Vírgenes",2023,20231,"2023-Q1",202301,"2023-01",239000,-26000,-0.09811320754716982,0.0005615885332926483
"na","América del norte","glp","Guadalupe",2023,20231,"2023-Q1",202301,"2023-01",250000,250000,,0.0005874357042810129
"na","América del norte","mtq","Martinica",2023,20231,"2023-Q1",202301,"2023-01",90000,90000,,0.00021147685354116466
"oc","Oceanía","aus","Australia",2023,20231,"2023-Q1",202301,"2023-01",85638000,-7481000,-0.08033806204963541,0.20122727537286952
"oc","Oceanía","gum","Guam",2023,20231,"2023-Q1",202301,"2023-01",57000,-475000,-0.8928571428571429,0.00013393534057607094
"oc","Oceanía","nzl","Nueva Zelandia",2023,20231,"2023-Q1",202301,"2023-01",15752000,-1241000,-0.07303007120579062,0.03701314885533806
"sa","América del Sur","arg","Argentina",2023,20231,"2023-Q1",202301,"2023-01",71262000,-1183000,-0.016329629374007868,0.16744737263389417
